ID,gender,age
1,M,-
2,F,22
3,F,26
4,M,14
5,M,13
6,M,-
7,M,13
8,M,8
9,M,13
10,M,13
11,M,18
12,M,18
13,M,19
14,M,8
15,M,18
16,M,19
17,M,19
18,M,19
19,F,18
20,F,8
21,F,19
22,F,40
23,F,18
24,M,25
25,M,38
26,M,18
27,F,35
28,M,11
29,F,12
30,M,9
31,F,48
32,M,9
33,F,10
34,F,47
35,F,11
36,F,46
37,F,12
38,F,39
39,F,44
40,F,6
41,F,44
42,F,44
43,F,10
44,F,47
45,M,40
46,M,6
47,M,-
48,M,7
49,F,43
50,F,35
51,M,9
52,F,50
53,M,9
54,F,52
55,F,-
56,F,10
57,M,8
58,F,8
59,F,60
60,M,9
61,F,59
62,M,45
63,F,45
64,F,32
65,F,47
66,M,26
67,F,34
68,M,11
69,F,43
70,F,39
71,F,49
72,M,21
73,M,6
74,M,37
75,M,11
76,F,12
77,M,34
78,M,9
79,M,9
80,M,9
81,M,42
82,F,41
83,F,11
84,M,7
85,F,-
86,M,35
87,F,59
88,F,31
89,M,68
90,F,27
91,M,9
92,F,53
93,M,4
94,F,40
95,F,43
96,F,17
97,M,21
98,F,53
99,F,11
100,F,8
101,F,40
102,F,28
103,M,29
104,F,53
105,M,70
106,F,17
107,F,18
108,M,17
109,F,45
110,M,24
111,F,25
112,F,8
113,F,33
114,M,33
115,M,10
116,M,36
117,M,8
118,F,44
119,M,6
120,F,11
121,F,36
122,F,9
123,M,47
124,F,49
125,F,13
126,M,6
127,M,8
128,F,42
129,M,10
130,M,11
131,F,20
132,M,20
133,M,7
134,F,41
135,M,42
136,F,9
137,F,9
138,F,10
139,F,7
140,F,38
141,F,8
142,F,8
143,F,8
144,M,16
145,F,38
146,M,37
147,M,26
148,F,24
149,M,9
150,F,41
151,M,11
152,F,11
153,F,44
154,F,9
155,F,41
156,F,8
157,F,34
158,F,5
159,F,34
160,M,7
161,M,7
162,M,5
163,F,48
164,F,36
165,M,6
166,F,6
167,M,5
168,M,9
169,F,7
170,F,32
171,F,8
172,M,33
173,F,10
174,M,11
175,M,8
176,M,10
177,M,10
178,M,42
179,F,41
180,M,28
181,F,34
182,M,9
183,F,10
184,M,9
185,F,40
186,M,15
187,F,10
188,F,25
189,F,42
190,M,10
191,M,6
192,F,48
193,M,47
194,M,6
195,F,11
196,F,8
197,F,38
198,M,7
199,M,9
200,M,6
201,F,39
202,F,7
203,F,7
204,F,35
205,M,38
206,F,29
207,F,27
208,F,42
209,F,28
210,F,23
211,M,25
212,M,8
213,M,29
214,M,10
215,F,28
216,F,45
217,M,27
218,F,31
219,M,42
220,M,7
221,M,7
222,M,31
223,F,29
224,M,37
225,F,29
226,F,59
227,F,43
228,M,8
229,F,73
230,M,30
231,F,35
232,M,31
233,F,43
234,M,30
235,F,38
236,M,16
237,M,16
238,M,15
239,M,11
240,F,10
241,F,11
242,M,11
243,F,54
244,F,10
245,F,10
246,M,12
247,M,33
248,F,28
249,F,10
250,F,11
251,M,28
252,M,28
253,F,21
254,F,33
255,F,11
256,F,32
257,M,6
258,M,9
259,F,27
260,M,39
261,M,33
262,M,14
263,F,50
264,M,49
265,F,44
266,M,27
267,M,27
268,M,-
269,M,43
270,F,33
271,F,43
272,F,9
273,F,38
274,F,40
275,M,43
276,M,12
277,F,39
278,M,11
279,M,16
280,M,64
281,M,15
282,M,28
283,M,15
284,M,15
285,F,37
286,M,46
287,M,7
288,F,15
289,M,34
290,F,53
291,M,53
292,F,28
293,F,32
294,M,32
295,F,21
296,M,16
297,M,15
298,M,42
299,M,59
300,M,32
301,F,30
302,F,21
303,F,26
304,M,35
305,M,15
306,M,15
307,M,15
308,M,16
309,M,15
310,M,16
311,F,21
312,M,22
313,F,27
314,F,26
315,M,30
316,F,26
317,M,25
318,M,24
319,M,25
320,F,36
321,M,34
322,M,21
323,M,9
324,F,28
325,F,7
326,F,37
327,M,30
328,M,36
329,F,30
330,F,36
331,F,33
332,M,32
333,M,7
334,M,5
335,M,37
336,F,37
337,M,63
338,M,29
339,F,57
340,F,29
341,M,33
342,F,4
343,M,13
344,M,23
345,M,27
346,M,22
347,M,30
348,F,18
349,M,15
350,M,16
351,M,16
352,M,15
353,M,16
354,M,-
355,F,50
356,M,51
357,M,26
358,M,42
359,M,23
360,M,16
361,F,35
362,F,55
363,F,52
364,F,23
365,M,16
366,M,26
367,M,24
368,M,57
369,M,27
370,F,38
371,M,41
372,F,28
373,F,31
374,F,15
375,M,47
376,M,8
377,M,10
378,F,49
379,F,-
380,M,33
381,F,44
382,M,9
383,M,13
384,F,9
385,M,23
386,M,23
387,M,10
388,M,15
389,F,16
390,M,29
391,F,47
392,F,9
393,M,41
394,M,75
395,M,12
396,M,14
397,M,31
398,F,27
399,M,5
400,F,5
401,F,38
402,M,15
403,M,50
404,M,5
405,F,42
406,M,43
407,F,20
408,M,15
409,F,26
410,M,16
411,M,15
412,M,11
413,M,9
414,F,46
415,M,8
416,M,47
417,M,10
418,F,40
419,M,24
420,M,10
421,M,57
422,F,8
423,M,47
424,F,43
425,M,43
426,M,35
427,F,5
428,M,9
429,M,7
430,F,45
431,M,42
432,F,50
433,F,28
434,M,30
435,M,31
436,F,29
437,M,47
438,M,19
439,F,20
440,M,-
441,M,42
442,F,48
443,F,54
444,F,57
445,M,48
446,M,8
447,F,47
448,M,68
449,F,-
450,M,-
451,F,39
452,F,33
453,M,42
454,F,5
455,F,35
456,M,9
457,F,8
458,F,43
459,M,44
460,F,68
461,M,40
462,F,26
463,M,32
464,F,14
465,F,37
466,F,30
467,M,71
468,M,28
469,M,28
470,F,6
471,F,39
472,M,16
473,M,16
474,M,16
475,M,16
476,M,16
477,F,50
478,M,7
479,F,7
480,F,35
481,F,65
482,M,9
483,M,5
484,F,39
485,M,39
486,M,53
487,F,49
488,M,7
489,F,10
490,M,26
491,M,10
492,F,24
493,M,10
494,M,38
495,F,43
496,M,36
497,M,22
498,M,48
499,M,25
500,F,27
501,M,10
502,M,28
503,M,48
504,M,9
505,F,35
506,M,25
507,M,27
508,F,24
509,F,25
510,F,21
511,F,25
512,F,25
513,F,30
514,M,28
515,M,29
516,F,25
517,M,41
518,F,10
519,F,25
520,M,25
521,M,10
522,M,12
523,F,10
524,M,44
525,M,5
526,F,21
527,M,36
528,M,20
529,F,24
530,M,12
531,M,19
